year;niveau;deleg;codedel;nbetabli;1ann;2ann;3ann;4ann;5ann;6ann;student;class;prep;densite;enf;groupe;enseignant;ref_tn_cod;lat;lon;nom;per nouv 1 ayant ben AP;;per section lettre;per section math;per section science;per section tech;per section info;per section eco;per section sport
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Echbika;8123;3;;;;;;;2169;77;;28,17;;;163;TN413;;;;;;61;0;89;0;0;78;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Sebikha;8126;6;;;;;;;4798;176;;27,26;;;332;TN414;;;;;;123;39;37;75;12;95;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;El  Oueslatia;8131;5;;;;;;;2762;99;;27,9;;;184;TN415;;;;;;116;16;37;57;0;78;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Ain jloula;8132;2;;;;;;;715;31;;23,06;;;46;TN420;;;;;;26;0;14;0;0;18;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;El Ala;8134;6;;;;;;;2327;94;;24,76;;;162;TN417;;;;;;100;15;35;0;0;92;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Haffouz;8136;5;;;;;;;3859;138;;27,96;;;276;TN416;;;;;;74;56;40;82;13;195;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Hajeb El Ayoun;8141;5;;;;;;;3267;125;;26,14;;;237;TN418;;;;;;151;19;57;99;8;110;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Nasrallah;8146;6;;;;;;;2657;114;;23,31;;;195;TN419;;;;;;66;8;74;56;0;165;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Manzel mhiri;8147;2;;;;;;;577;20;;28,85;;;82;TN421;;;;;;0;0;0;0;0;0;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Bouhajla;8151;6;;;;;;;5400;183;;29,51;;;357;TN41B;;;;;;96;27;82;98;8;196;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Echrarda;8156;4;;;;;;;2401;92;;26,1;;;167;TN41A;;;;;;55;0;28;0;26;33;0
2024/2025;Cycle Preparatoire(Tech);Kairouan Sud;8122;1;;;;;;;227;7;;32,43;;;17;TN412;35.6651805;10.0956385;E.PREP.TECH.CHARAA FESS;;;;;;;;;
2024/2025;Cycle Preparatoire(Tech);Haffouz;8136;1;;;;;;;116;4;;29;;;7;TN416;35.63276;9.6783085;E.PREP.TECH.HAFFOUZ;;;;;;;;;
2024/2025;Cycle Preparatoire(Tech);Nasrallah;8146;1;;;;;;;98;4;;24,5;;;8;TN419;35.3607487;9.8358649;E.PREP.TECHNASRALLAH;;;;;;;;;
2024/2025;Cycle Preparatoire(Tech);Bouhajla;8151;1;;;;;;;139;5;;27,8;;;9;TN41B;35.3937739;10.0499161;E.PREP.TECH  BOUHAJLA;;;;;;;;;
2023/2024;Cycle Preparatoire(Tech);Kairouan Sud;8122;1;;;;;;;205;6;;34,17;;;17;TN412;35.6651805;10.0956385;E.PREP.TECH.CHARAA FESS;;;;;;;;;
